Pattern,Count
NN ,0.3014672824620918
NNS ,0.1862508685167777
JJ ,0.10908570727919238
JJ NN ,0.10610209670167982
NN NN ,0.06200188008337761
JJ NNS ,0.05041484448440757
NN NNS ,0.03192054604160706
JJ NN NN ,0.016062451465238894
JJ JJ NN ,0.009727387910246455
JJ NN NNS ,0.008051661421506519
NN NN NN ,0.006559856132750235
VB ,0.005762864266154412
CD ,0.004516287244042997
JJR ,0.0042914946662852005
JJ JJ NNS ,0.004230187599623983
JJ JJ ,0.004128009155188622
NN NN NNS ,0.004066702088527404
VBZ ,0.003923652266317898
RB ,0.003719295377447174
VBN ,0.0034740671108023052
VBG ,0.00308578902194793
NN JJ ,0.002983610577512568
VBP ,0.002431846977561614
NN JJ NN ,0.002207054399803817
VBD ,0.0020435688887072384
NNS RB ,0.0019413904442718763
VB NN ,0.0015326766665304287
NNS NN ,0.0015122409776433564
CD NN ,0.0013691911554338497
JJR NN ,0.0013078840887726325
JJ JJ NN NN ,0.0012670127109984878
NN VBG ,0.0011443985776760535
JJ VBG ,0.001062655822127764
JJ NN NN NN ,0.0010217844443536192
NN CD ,0.0010013487554665467
JJ VBZ ,0.0010013487554665467
VBG NN ,0.0009809130665794745
JJR NNS ,0.0009400416888053296
NN VBZ ,0.0008378632443699677
CD NNS ,0.0008378632443699677
NN JJ NNS ,0.0008174275554828954
VB NNS ,0.0007969918665958229
VBD NN ,0.0007152491110475334
NNS JJ ,0.0006743777332733886
NNS NNS ,0.0006743777332733886
NN RB ,0.0006539420443863163
NN IN NN ,0.0006539420443863163
JJ VBP ,0.0005721992888380268
JJ NN JJ ,0.0005517635999509543
NN VB ,0.000531327911063882
JJ JJ NN NNS ,0.000531327911063882
JJ RB ,0.0005108922221768096
RB JJ NN ,0.0005108922221768096
VBP NN ,0.0005108922221768096
JJS NN ,0.0005108922221768096
NN NN NN NN ,0.0004904565332897372
VBG NNS ,0.0004904565332897372
NN CD NNS ,0.0004904565332897372
JJ VB ,0.0004700208444026648
NN PRP ,0.00044958515551559244
