Pattern,Count
NN ,0.32328514303291295
NN NN ,0.1344201784066441
JJ NN ,0.08981851737926792
JJ ,0.08735773608120578
NNS ,0.05413718855736696
JJ NNS ,0.03875730544447862
NN NNS ,0.03875730544447862
VBG ,0.028606582589972316
CC ,0.02060904337127038
NN CC ,0.01968625038449708
JJ NN NN ,0.016302676099661642
NN VBG ,0.012611504152568441
NN NN NN ,0.010458320516764073
JJ VBG ,0.0064595509074131035
NN JJ ,0.006151953245155337
IN ,0.00584435558289757
JJ NN NNS ,0.005536757920639803
NNS NN ,0.005536757920639803
VB ,0.003998769609350969
NN CC NN ,0.003691171947093202
VBN NN ,0.003691171947093202
JJ JJ ,0.0030759766225776685
JJ JJ NN ,0.0027683789603199014
VBZ ,0.0027683789603199014
NN NN NNS ,0.002460781298062135
NNP ,0.002460781298062135
NN NN CC ,0.002460781298062135
JJ CC ,0.002153183635804368
VB NN ,0.002153183635804368
NN NN VBG ,0.001845585973546601
VBP ,0.001845585973546601
NN NN CC NN ,0.001845585973546601
IN NNS ,0.001845585973546601
NN VBZ ,0.001845585973546601
VBN NNS ,0.0015379883112888342
VBG NN ,0.0015379883112888342
IN NN ,0.0015379883112888342
VBN ,0.0015379883112888342
VBD NNS ,0.0012303906490310674
VBG NNS ,0.0012303906490310674
VB NNS ,0.0012303906490310674
NN JJ NN ,0.0012303906490310674
VBD ,0.0012303906490310674
JJ JJ NNS ,0.0009227929867733005
NN IN NN ,0.0009227929867733005
RB ,0.0009227929867733005
NNS CC ,0.0009227929867733005
VBN NN NN ,0.0009227929867733005
RB NN ,0.0009227929867733005
NN IN NNS ,0.0009227929867733005
NNS NNS ,0.0006151953245155337
NN VBD JJ ,0.0006151953245155337
VBD NN ,0.0006151953245155337
VBN JJ NN ,0.0006151953245155337
JJ NN NN NN ,0.0006151953245155337
NN NNS NN ,0.0006151953245155337
CC NN ,0.0006151953245155337
IN NN NN ,0.0006151953245155337
IN JJ NNS ,0.0006151953245155337
VBP NN ,0.0006151953245155337
JJ IN NN ,0.0006151953245155337
NN NNS VBG ,0.0006151953245155337
VB CC ,0.0006151953245155337
NNS NN NN ,0.0006151953245155337
VBG TO ,0.0006151953245155337
NN VBD ,0.0006151953245155337
NN IN ,0.0006151953245155337
CC VBG ,0.0006151953245155337
JJ NNS NN ,0.0006151953245155337
JJ NN IN NN ,0.0006151953245155337
NN NNS NNS ,0.00030759766225776686
VBG JJ NNS ,0.00030759766225776686
JJ NN NN NN NN ,0.00030759766225776686
VBN JJ VBG NN ,0.00030759766225776686
NN IN JJ NNS CC PRP$ ,0.00030759766225776686
NN IN JJ JJ ,0.00030759766225776686
JJ VBZ ,0.00030759766225776686
NN CC NN NNS ,0.00030759766225776686
VBN NN IN NN NNS ,0.00030759766225776686
NN RB ,0.00030759766225776686
JJ RB NN ,0.00030759766225776686
RB JJ NNS ,0.00030759766225776686
VBN VBG ,0.00030759766225776686
VBD NN NNS ,0.00030759766225776686
NN TO NN ,0.00030759766225776686
VBD CC ,0.00030759766225776686
NN NN CC VB NNS ,0.00030759766225776686
TO ,0.00030759766225776686
$ ,0.00030759766225776686
RB JJ ,0.00030759766225776686
JJ . ,0.00030759766225776686
NNS IN DT NN ,0.00030759766225776686
RB VBN NNS ,0.00030759766225776686
CC JJ VBG ,0.00030759766225776686
VBN VB ,0.00030759766225776686
JJ VB ,0.00030759766225776686
NN VB CC ,0.00030759766225776686
NN JJ NNS ,0.00030759766225776686
VBG NNS RB ,0.00030759766225776686
NN NN NN NN ,0.00030759766225776686
NN NN JJ ,0.00030759766225776686
JJ CC JJ ,0.00030759766225776686
NN NN CC JJ ,0.00030759766225776686
PRP NNS ,0.00030759766225776686
JJS NNS ,0.00030759766225776686
JJ VBP ,0.00030759766225776686
NN VBP ,0.00030759766225776686
NN IN JJ VBP ,0.00030759766225776686
VB NN NN ,0.00030759766225776686
NN TO ,0.00030759766225776686
NN CC NN VBG ,0.00030759766225776686
JJ NN VBG ,0.00030759766225776686
VBN JJ ,0.00030759766225776686
VBD VBG ,0.00030759766225776686
JJR NN ,0.00030759766225776686
NN TO JJ ,0.00030759766225776686
PRP ,0.00030759766225776686
VBG RP ,0.00030759766225776686
NN VBG NNS ,0.00030759766225776686
RB NN NN ,0.00030759766225776686
JJ NN CC ,0.00030759766225776686
JJ CC NN NN ,0.00030759766225776686
JJ NNS NNS ,0.00030759766225776686
IN CC NN ,0.00030759766225776686
IN NN NNS ,0.00030759766225776686
NNS VBZ ,0.00030759766225776686
WRB ,0.00030759766225776686
VBG NN NN ,0.00030759766225776686
JJS JJ ,0.00030759766225776686
VBP VBG ,0.00030759766225776686
NN VB ,0.00030759766225776686
IN JJ NN ,0.00030759766225776686
VBG IN JJ NN ,0.00030759766225776686
VBG NN CC NN NN ,0.00030759766225776686
NN CC IN ,0.00030759766225776686
NNP JJ ,0.00030759766225776686
NN JJ NN VBG ,0.00030759766225776686
CD ,0.00030759766225776686
VBZ NNS ,0.00030759766225776686
NN NN VBZ ,0.00030759766225776686
VBG TO VB JJ NNS ,0.00030759766225776686
WP NN ,0.00030759766225776686
IN VBG ,0.00030759766225776686
IN JJ ,0.00030759766225776686
NNS VBG ,0.00030759766225776686
CC IN ,0.00030759766225776686
JJ JJ VBG ,0.00030759766225776686
