Pattern,Count
NN ,0.35147606053088565
NNS ,0.1413545026048127
JJ ,0.05673530141404118
CC ,0.052741255271644756
. ,0.05241875465145125
NN NN ,0.04703547506822128
JJ NN ,0.04058546266435128
JJ NNS ,0.021731580253038948
NN CC ,0.016472339369883404
NNS CC ,0.016273877449764326
CC NN ,0.01543041428925825
NN NNS ,0.014686182088811709
IN ,0.01334656412800794
VBG ,0.009476556685685934
CD ,0.008260977424956586
DT ,0.007417514264450508
CC NNS ,0.006946167204167701
NN CC NN ,0.0067973207640783925
NN IN ,0.00657405110394443
CC DT ,0.005780203423468122
NNS CC NN ,0.005085586703051352
VB ,0.003621930042173158
JJ CC ,0.003299429421979658
NNS CC NNS ,0.003274621681964773
JJ NN NN ,0.0027288514016373107
VBZ ,0.002158273381294964
NN CC NNS ,0.0020094269412056563
IN NN ,0.001959811461175887
PRP ,0.001885388241131233
CD JJ NN ,0.0018357727611014636
NNS NN ,0.001810965021086579
NN NN NN ,0.0017117340610270405
CC JJ ,0.001662118580997271
FW ,0.0016373108409823865
NNS CC DT ,0.0016373108409823865
VBP ,0.0014884644008930786
CC JJ NNS ,0.0014884644008930786
RB ,0.0014140411808484248
NN VBG ,0.0013148102207888861
JJ IN ,0.0013148102207888861
VBN NN ,0.0012651947407591169
CD NN ,0.0012155792607293475
NN JJ ,0.0012155792607293475
IN DT ,0.0011659637806995782
CC NN NNS ,0.0011659637806995782
JJ NNS CC ,0.0011411560406846936
VBD ,0.001116348300669809
JJ VBG ,0.0010667328206400398
NNP ,0.0010171173406102703
NN CC NN NNS ,0.0009675018605805011
NN IN NN ,0.0009426941205656165
IN NNS ,0.0009178863805507318
MD ,0.0008682709005209626
. CD ,0.0008186554204911932
NN IN DT ,0.0008186554204911932
NN CC JJ ,0.0007938476804763086
CC NN NN ,0.0007938476804763086
JJ JJ NN ,0.0007690399404614239
PRP NN ,0.0007690399404614239
VB NN ,0.0007442322004465393
CD JJ ,0.0007442322004465393
NN NN CC ,0.0007442322004465393
JJ NN IN ,0.0006946167204167701
NN IN NNS ,0.0006450012403870008
NNS NNS ,0.0006201935003721161
VBN ,0.0005953857603572314
WP ,0.0005953857603572314
JJ CC NNS ,0.0005953857603572314
VBG CC ,0.0005953857603572314
NN VB ,0.0005705780203423468
NN NN CC NN ,0.0005705780203423468
NN CC JJ NNS ,0.0005209625403125775
NN . ,0.0004961548002976929
JJ NN CC ,0.0004961548002976929
JJ NN NNS ,0.00047134706028280826
JJ JJ ,0.00047134706028280826
NNS NNS CC ,0.0004465393202679236
DT NN ,0.00042173158025303893
IN CC ,0.00042173158025303893
NN NNS CC ,0.00042173158025303893
IN IN ,0.00042173158025303893
NN NNS NN ,0.0003969238402381543
VBG NNS ,0.0003969238402381543
NN IN DT NN ,0.0003969238402381543
JJ CC NN ,0.0003969238402381543
NN VBP ,0.00037211610022326965
JJ JJ NNS ,0.00037211610022326965
CC IN NN ,0.00037211610022326965
CC IN ,0.00037211610022326965
CC VBG ,0.00037211610022326965
PRP NNS ,0.00037211610022326965
NN CD ,0.00034730836020838504
IN NN CC ,0.00034730836020838504
NNS CC VBG ,0.00034730836020838504
VBN NNS ,0.0003225006201935004
IN JJ ,0.0003225006201935004
NN IN CC ,0.0003225006201935004
DT IN ,0.0003225006201935004
NNS CC NN NNS ,0.0003225006201935004
NN NN NNS ,0.0002976928801786157
JJ NNS CC JJ NNS ,0.0002976928801786157
DT TO ,0.0002728851401637311
DT . CD ,0.0002728851401637311
NN ) ,0.0002728851401637311
PRP JJ ,0.0002728851401637311
VBG CC NNS ,0.0002728851401637311
NN CC IN NN ,0.0002728851401637311
JJ NN CC NN ,0.0002728851401637311
IN DT NN ,0.00024807740014884643
NN CC NN NN ,0.00024807740014884643
JJ NNS NN ,0.00024807740014884643
JJ VB ,0.00024807740014884643
PRP JJ NN ,0.00024807740014884643
CC JJ NN ,0.00024807740014884643
VBG NN ,0.0002232696601339618
NN VBZ ,0.0002232696601339618
NNS IN ,0.0002232696601339618
JJ NN CC NN NN ,0.0002232696601339618
NNS CC NN NN ,0.0002232696601339618
NN FW ,0.0002232696601339618
JJ IN CD ,0.0002232696601339618
RB NN ,0.00019846192011907716
VBP NN ,0.00019846192011907716
VB NNS ,0.00019846192011907716
VBD NN ,0.00019846192011907716
JJ IN NN ,0.00019846192011907716
NN JJ NN ,0.00019846192011907716
NN IN NN NN ,0.00019846192011907716
IN NN NN ,0.00019846192011907716
NN CC JJ NN ,0.00019846192011907716
NN CC VBG ,0.00019846192011907716
CD CD ,0.00017365418010419252
NN IN JJ ,0.00017365418010419252
) ,0.00017365418010419252
VB CC ,0.00017365418010419252
JJ CC JJ ,0.00017365418010419252
NN CC IN ,0.00017365418010419252
TO ,0.00017365418010419252
NN NN IN ,0.00017365418010419252
NNS IN NN ,0.00014884644008930786
DT NNS ,0.00014884644008930786
IN CD ,0.00014884644008930786
NN IN NN CC ,0.00014884644008930786
JJS ,0.00014884644008930786
IN DT IN IN DT IN ,0.00014884644008930786
VBZ CC ,0.00014884644008930786
CC VB ,0.00014884644008930786
NNS CC JJ ,0.00014884644008930786
VBZ NN ,0.00012403870007442322
JJ NN IN NN ,0.00012403870007442322
DT NN IN ,0.00012403870007442322
NN NNP ,0.00012403870007442322
DT JJ ,0.00012403870007442322
NNS IN NN NN ,0.00012403870007442322
NN IN CD ,0.00012403870007442322
NN DT ,0.00012403870007442322
CC DT NN ,0.00012403870007442322
VBG CC NN ,0.00012403870007442322
NN IN IN ,0.00012403870007442322
NN NNS CC NNS ,0.00012403870007442322
NN NN NN NN ,0.00012403870007442322
IN CC NNS ,0.00012403870007442322
JJ NN IN CD ,0.00012403870007442322
NNS NN NN ,0.00012403870007442322
NN NN ) ,0.00012403870007442322
CC CC ,0.00012403870007442322
CC NN NN NN ,0.00012403870007442322
IN JJ NN ,9.923096005953858e-05
VBD NNS ,9.923096005953858e-05
IN NN CC NN ,9.923096005953858e-05
NNS VBP ,9.923096005953858e-05
CD IN ,9.923096005953858e-05
NN TO ,9.923096005953858e-05
JJR ,9.923096005953858e-05
NN IN JJ NNS ,9.923096005953858e-05
JJ CC JJ JJ NN ,9.923096005953858e-05
NN IN IN NN ,9.923096005953858e-05
JJ NNS CC NNS ,9.923096005953858e-05
NN CC VBG NNS ,9.923096005953858e-05
NNS JJ ,9.923096005953858e-05
JJ JJ NN NN ,9.923096005953858e-05
IN DT NNS ,9.923096005953858e-05
NN NNS CC JJ ,9.923096005953858e-05
JJ NN CC NNS ,9.923096005953858e-05
DT . ,7.442322004465393e-05
JJR NN ,7.442322004465393e-05
JJ DT ,7.442322004465393e-05
. NN ,7.442322004465393e-05
VBZ NNS ,7.442322004465393e-05
CD NN NNS ,7.442322004465393e-05
DT RB ,7.442322004465393e-05
IN VBG ,7.442322004465393e-05
NN VBG NN ,7.442322004465393e-05
NNS JJ NN ,7.442322004465393e-05
VBG DT ,7.442322004465393e-05
TO NNS ,7.442322004465393e-05
JJ CC NN NN ,7.442322004465393e-05
NN NNS CC NN ,7.442322004465393e-05
NN NN IN JJ ,7.442322004465393e-05
IN JJ NNS ,7.442322004465393e-05
JJ NN JJ NNS CC ,7.442322004465393e-05
